specimen_name,author_name_1,author_name_2,web_link,D1,D2,D3,D4,P1,P2,P3,P4,t1,t2,fy1,fy2,fu1,fu2,fastener_diameter,fastener_label,fastener_type
54_8_13,Zhang,Schafer,https://jscholarship.library.jhu.edu/handle/1774.2/62850,0.01,0.01,1.04,15.11,420.47,974.85,1051.17,105.12,0.31,1.47,332.4,354.63,415.8,466.24,4.19,#8,screw
54_8_19,Zhang,Schafer,https://jscholarship.library.jhu.edu/handle/1774.2/62850,0.08,0.52,3.82,14.16,713.27,1381.97,1783.15,178.31,0.48,1.47,209,354.63,343.7,466.24,4.19,#8,screw
54_8_30,Zhang,Schafer,https://jscholarship.library.jhu.edu/handle/1774.2/62850,0.1,4.18,12.16,23.21,1932.07,4193.73,4830.11,483.01,0.78,1.47,150.4,354.63,312.1,466.24,4.19,#8,screw
54_10_13,Zhang,Schafer,https://jscholarship.library.jhu.edu/handle/1774.2/62850,0.01,0.01,0.84,11.3,446.11,974.09,1115.28,111.53,0.31,1.47,332.4,354.63,415.8,466.24,4.75,#10,screw
54_10_19,Zhang,Schafer,https://jscholarship.library.jhu.edu/handle/1774.2/62850,0.22,0.27,2.86,15.75,690.4,1432.72,1726,172.6,0.48,1.47,209,354.63,343.7,466.24,4.75,#10,screw
54_10_30,Zhang,Schafer,https://jscholarship.library.jhu.edu/handle/1774.2/62850,0.06,1.39,6.58,17.58,1408.24,2927.03,3520.57,352.06,0.78,1.47,150.4,354.63,312.1,466.24,4.75,#10,screw
97_10_13,Zhang,Schafer,https://jscholarship.library.jhu.edu/handle/1774.2/62850,0.02,0.02,0.02,8.74,676.26,1352.52,1690.65,169.06,0.31,2.54,332.4,422.4,415.8,534.2,4.75,#10,screw
97_10_19,Zhang,Schafer,https://jscholarship.library.jhu.edu/handle/1774.2/62850,0.05,0.05,2.34,15.8,618.82,1396.68,1547.03,154.7,0.48,2.54,209,422.4,343.7,534.2,4.75,#10,screw
97_12_30,Zhang,Schafer,https://jscholarship.library.jhu.edu/handle/1774.2/62850,0.02,0.02,4.52,16.01,1240.69,2588.51,3101.72,310.17,0.78,2.54,150.4,422.4,312.1,534.2,5.38,#12,screw
97_8_30,Zhang,Schafer,https://jscholarship.library.jhu.edu/handle/1774.2/62850,0.02,0.02,4.57,15.44,1239.33,2423.06,3098.33,309.83,0.78,2.54,150.4,422.4,312.1,534.2,4.19,#8,screw
97_10_30,Zhang,Schafer,https://jscholarship.library.jhu.edu/handle/1774.2/62850,0.07,0.42,4.84,17.41,1283.9,2606.91,3209.74,320.97,0.78,2.54,150.4,422.4,312.1,534.2,4.75,#10,screw
97-10-13-97,Zhang,Schafer,https://jscholarship.library.jhu.edu/handle/1774.2/62850,0.03,1.18,3.41,16.45,1111.79,2386.75,2779.48,277.95,0.31,2.54,332.4,422.4,415.8,534.2,4.75,#10,screw
97-10-19-97,Zhang,Schafer,https://jscholarship.library.jhu.edu/handle/1774.2/62850,0.36,2.72,7.37,15.8,1324.67,2802.12,3311.61,331.16,0.48,2.54,209,422.4,343.7,534.2,4.75,#10,screw
97-10-30-97,Zhang,Schafer,https://jscholarship.library.jhu.edu/handle/1774.2/62850,0.51,3.03,9.68,20.09,1914.77,4181.99,4786.74,478.67,0.78,2.54,150.4,422.4,312.1,534.2,4.75,#10,screw
97-12-30-97,Zhang,Schafer,https://jscholarship.library.jhu.edu/handle/1774.2/62850,0.35,2.75,9.59,22.84,2074.5,4537.75,5186.08,518.61,0.78,2.54,150.4,422.4,312.1,534.2,5.38,#12,screw
97-24-30-97,Zhang,Schafer,https://jscholarship.library.jhu.edu/handle/1774.2/62850,0.05,2.82,9.93,25.39,2087.53,4706.88,5218.74,521.87,0.78,2.54,150.4,422.4,312.1,534.2,4.04,HILTI X-HSN-24 PAF,PAF
118-24-30-118,Zhang,Schafer,https://jscholarship.library.jhu.edu/handle/1774.2/62850,0.08,2.61,10.28,28.28,1948.92,4308.06,4872.37,487.24,0.78,3.11,150.4,449.5,312.1,564.5,4.04,HILTI X-HSN-24 PAF,PAF
188-12-30,Zhang,Schafer,https://jscholarship.library.jhu.edu/handle/1774.2/62850,0.04,0.55,1.46,18.03,1459.11,3133.63,3647.76,364.78,0.78,4.78,150.4,345,312.1,450,5.38,#12,screw
188-24-30,Zhang,Schafer,https://jscholarship.library.jhu.edu/handle/1774.2/62850,0.06,0.58,3.92,17.76,1872.04,4019.14,4680.07,468.01,0.78,4.78,150.4,345,312.1,450,4.04,HILTI X-HSN-24 PAF,PAF
375-19-30,Zhang,Schafer,https://jscholarship.library.jhu.edu/handle/1774.2/62850,0.1,0.91,4.16,16.54,2031.55,4516.25,5078.95,507.89,0.78,9.53,150.4,345,312.1,450,4.45,HILTI X-ENP-19 PAF,PAF
